,Half scale,Double scale,Base scale,Policy
376,65467.044999999925,64134.332500000135,60000.0,ELOP
377,65565.20749999979,60000.0,78000.0,ELOP
378,60000.0,62999.99999999994,63000.0,ELOP
379,63169.89250000008,63000.0,66202.59999999998,ELOP
380,63710.2975000001,72127.63500000007,67763.3999999999,ELOP
381,71988.81500000018,66000.0,65407.13749999995,ELOP
382,77024.77500000014,72000.0,72000.0,ELOP
383,63020.86999999988,62999.99999999994,66835.20750000002,ELOP
384,66145.66500000004,63845.66000000009,60000.0,ELOP
385,72000.0,78000.00000000006,76809.90250000008,ELOP
386,77919.34000000008,72000.0,65559.88749999995,ELOP
387,63000.0,60000.00000000006,65429.54499999981,ELOP
388,66000.0,64571.78999999992,78000.0,ELOP
389,70772.3525000005,78000.0,66000.0,ELOP
390,71772.34999999986,68874.32750000013,69180.2599999999,ELOP
391,61416.43250000011,65845.92000000004,67346.45499999961,ELOP
392,63783.42000000039,66000.0,61802.34000000008,ELOP
393,69361.87750000088,63445.91249999998,70496.78749999986,ELOP
394,66032.55499999993,61562.70750000002,72000.00000000012,ELOP
395,60000.0,62682.81,63586.32000000007,ELOP
396,63000.0,77230.97249999997,77998.87999999989,ELOP
397,72409.6400000006,63574.08499999996,65230.919999999925,ELOP
398,63000.0,71518.32,71150.59999999963,ELOP
399,60000.0,65536.8849999999,78171.43749999977,ELOP
400,63000.0,66000.0,66000.0,ELOP
401,73399.99750000006,73641.68999999994,64442.554999999935,ELOP
402,61597.90999999968,70530.82000000007,69900.82000000007,ELOP
403,60000.0,60000.0,66067.3500000001,ELOP
404,63201.887500000186,85345.64000000001,72482.45500000007,ELOP
405,68653.32500000019,73321.63749999995,63000.0,ELOP
406,60000.0,72000.0,72213.01000000001,ELOP
407,60000.0,63000.0,75373.47249999992,ELOP
408,63000.0,66000.0,63236.5850000002,ELOP
409,63172.24749999959,66000.0,63000.0,ELOP
410,60000.0,74915.79999999993,66000.0,ELOP
411,60000.0,69831.1100000001,66000.0,ELOP
412,62229.49250000017,75000.0,72255.80749999965,ELOP
